Date,AAPL,MSFT,AMZN,NFLX,META,GOOG,INTC,AMD,NVDA,GE,GS,BAC,JPM,MS
2015-01-30,26.2532,35.0215,17.7265,63.1143,75.91,26.6528,25.7752,2.57,4.6112,124.0371,146.1101,12.7117,42.5094,27.127
2015-02-02,26.5826,35.7844,18.2235,63.0093,74.99,26.3516,26.251,2.67,4.7108,125.6986,148.7202,12.9718,43.3615,27.6164
2015-02-03,26.5871,36.0618,18.1775,65.2743,75.4,26.3895,26.29,2.76,4.8285,127.0485,152.7456,13.3326,44.3386,28.1139
2015-02-04,26.791,36.2698,18.2375,64.1014,75.63,26.0664,26.4,2.85,4.8405,125.439,151.5084,13.2487,44.0728,27.8972
2015-02-05,26.9822,36.7986,18.6945,64.13,75.615,26.3067,26.6672,3.31,4.9185,127.2042,153.1948,13.3997,44.3777,28.0256
2015-02-06,26.755,36.7639,18.714,63.48,74.47,26.4773,26.1604,3.03,4.8981,127.3081,155.449,13.836,45.2532,28.7156
2015-02-09,26.9327,36.7206,18.528,63.295,74.44,26.3192,25.8736,3.04,4.8933,127.9311,154.4236,13.7186,45.1985,28.5873
2015-02-10,27.4502,36.9286,18.6498,64.85,75.19,26.7735,26.4786,3.04,5.0301,128.3465,156.4067,13.7773,45.6988,29.0125
2015-02-11,28.0936,36.7379,18.757,64.9843,76.51,26.7251,26.3608,3.07,4.9965,128.6061,159.0253,13.727,45.6284,29.181
2015-02-12,28.449,37.3534,18.8585,65.2471,76.23,27.0721,26.8125,3.12,5.3543,129.2291,160.8304,13.9871,46.5665,29.6062
2015-02-13,28.5885,38.0296,19.0915,66.5857,75.74,27.3753,26.9972,3.15,5.3567,130.579,160.1694,13.9367,46.6447,29.5099
2015-02-17,28.7572,38.047,18.7715,67.1371,75.6,27.0677,27.2918,3.11,5.3723,130.6829,161.0338,13.9535,46.9808,29.6223
2015-02-18,28.9563,38.0034,18.6685,67.8657,76.71,26.9111,26.9225,3.08,5.3111,131.0983,159.8897,13.6766,46.4101,29.181
